Week_Start_Date,Ratio,Gas_Price,TNP_Trips,Transit_Ridership,Bus_Rides,Rail_Boardings,Time,Quarter,Cases,Lockdown,Population,Unemployment_Rate,No_Vehicle_Pct,Weekly_Inc,ln_Ratio,ln_TNP_Trips,ln_Transit_Ridership,ln_Bus_Rides,ln_Rail_Boardings,February,March,April,May,June,July,August,September,October,November,December,Spring,Summer,Fall,Year_2019,Year_2020,Year_2021,Month,Season,Year
2020-02-24,5.911365708845352,2.645,248933,1471534.0,789498.0,682036.0,68.0,1,0.0,0,9454282,3.8,26.8,1284.27888977593,1.776876889129115,12.424939062934099,14.201815952063214,13.579152579425733,13.432837721356226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2020
2020-03-02,5.801159635725732,2.633,250251,1451746.0,785700.0,666046.0,69.0,1,0.0,0,9454282,4.1,26.8,1284.27888977593,1.7580578347616882,12.430219693173479,14.188277527935167,13.574330319163913,13.409114016206438,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,2020
2020-03-09,5.439486564582391,2.511,254365,1383615.0,736013.0,647602.0,70.0,1,64.0,0,9454282,4.1,26.8,1284.27888977593,1.6936846749030463,12.446525522366946,14.140210197269992,13.509003060598502,13.381031589106975,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,2020
2020-03-16,5.2988735118642225,2.287,146828,778023.0,493179.0,284844.0,71.0,1,821.0,0,9454282,4.1,26.8,1284.27888977593,1.6674942530359225,11.897017112669635,13.564511365705558,13.108627470290386,12.559696940968951,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,2020
2020-03-23,6.131925046554935,2.156,51552,316113.0,212121.0,103992.0,72.0,1,2229.0,0,9454282,4.1,26.8,1284.27888977593,1.813508737607226,10.8503462859767,12.663855023583928,12.264912145552607,11.552069252087856,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,2020
2020-03-30,6.504658979704718,2.05,47006,305758.0,208762.0,96996.0,73.0,1,2898.0,1,9454282,4.1,26.8,1284.27888977593,1.8725186862558636,10.758030532118873,12.630549218374737,12.248950126090842,11.482425019521845,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,2020
2020-04-06,6.57724428262601,1.955,43945,289037.0,199323.0,89714.0,74.0,2,3675.0,1,9454282,16.5,26.8,1355.2885203912801,1.8836158555826403,10.690694130998745,12.574309986581387,12.202681903456064,11.404382111676576,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,2020
2020-04-13,5.873430257058575,1.908,47460,278753.0,199679.0,79074.0,75.0,2,4319.0,1,9454282,16.5,26.8,1355.2885203912801,1.770438834040636,10.767642529989754,12.53808136403039,12.20446635613784,11.278139401871945,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,2020
2020-04-20,5.736226322818502,1.887,53163,304955.0,225938.0,79017.0,76.0,2,6556.0,1,9454282,16.5,26.8,1355.2885203912801,1.7468015590772459,10.881117944643455,12.627919503720701,12.328015904334155,11.277418298172556,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,2020
2020-04-27,5.933749759753988,1.844,52030,308733.0,230903.0,77830.0,77.0,2,7230.0,1,9454282,16.5,26.8,1355.2885203912801,1.7806563503953323,10.85957575428435,12.640232104679681,12.34975298789569,11.262282239953434,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,2020
2020-05-04,5.783767413688674,1.917,56134,324666.0,244960.0,79706.0,78.0,2,6026.0,1,9454282,15.6,26.8,1355.2885203912801,1.7550552720300745,10.93549696853629,12.690552240566364,12.408850210891512,11.286100144253393,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,5,2,2020
2020-05-11,5.664106585897922,2.188,55467,314171.0,236521.0,77650.0,79.0,2,5404.0,1,9454282,15.6,26.8,1355.2885203912801,1.734149174346055,10.923543528298463,12.657692702644518,12.373792277898092,11.259966828576832,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,5,2,2020
2020-05-18,5.614312251523411,2.208,57601,323390.0,242568.0,80822.0,80.0,2,4780.0,1,9454282,15.6,26.8,1355.2885203912801,1.725319096543181,10.961295207644392,12.686614304187572,12.399037362422607,11.300004484676192,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,5,2,2020
2020-05-25,3.910481268415883,2.302,57016,222960.0,170039.0,52921.0,81.0,2,3114.0,1,9454282,15.6,26.8,1355.2885203912801,1.3636604529741232,10.951087209181706,12.31474766215583,12.04378310148625,10.876555514497824,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,5,2,2020
2020-06-01,3.377764008829338,2.306,51646,174448.0,146931.0,27517.0,82.0,2,1707.0,0,9454282,15.1,26.8,1355.2885203912801,1.2172139547342287,10.852168027211935,12.069381981946163,11.897718367808855,10.222559274477174,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,6,3,2020
