ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60625,44,10/25/2020,10/31/2020,251,2909,317,3671,2637,39543,3328,49900.9,0.1,0.1,1,118,1.3,148.9,79243,60625-2020-44,POINT (-87.701816 41.971155)
60625,45,11/01/2020,11/07/2020,331,3240,418,4088.7,3013,42556,3802,53703.2,0.1,0.1,0,118,0.0,148.9,79243,60625-2020-45,POINT (-87.701816 41.971155)
60625,48,11/22/2020,11/28/2020,227,4113,286,5190.4,2780,52083,3508,65725.7,0.1,0.1,0,123,0.0,155.2,79243,60625-2020-48,POINT (-87.701816 41.971155)
60625,46,11/08/2020,11/14/2020,369,3609,466,4554.3,3169,45725,3999,57702.3,0.1,0.1,0,118,0.0,148.9,79243,60625-2020-46,POINT (-87.701816 41.971155)
60625,49,11/29/2020,12/05/2020,299,4412,377,5567.7,2731,54814,3446,69172,0.1,0.1,4,127,5.0,160.3,79243,60625-2020-49,POINT (-87.701816 41.971155)
60629,16,04/12/2020,04/18/2020,256,566,229,506,531,1323,475,1182.8,0.4,0.4,4,17,3.6,15.2,111850,60629-2020-16,POINT (-87.711565 41.777061)
60629,17,04/19/2020,04/25/2020,431,997,385,891.4,940,2263,840,2023.2,0.4,0.4,8,25,7.2,22.4,111850,60629-2020-17,POINT (-87.711565 41.777061)
60629,53,12/27/2020,01/02/2021,492,14145,440,12646.4,2750,81321,2459,72705.4,0.2,0.2,6,204,5.4,182.4,111850,60629-2020-53,POINT (-87.711565 41.777061)
60610,29,07/18/2021,07/24/2021,21,3687,54,9449.2,1209,83499,3098,213995.7,0.0,0.0,0,32,0.0,82.0,39019,60610-2021-29,POINT (-87.63581 41.90455)
60610,30,07/25/2021,07/31/2021,43,3730,110,9559.4,1610,85109,4126,218121.9,0.0,0.0,1,33,2.6,84.6,39019,60610-2021-30,POINT (-87.63581 41.90455)
60610,31,08/01/2021,08/07/2021,66,3796,169,9728.6,1825,86934,4677,222799.1,0.0,0.0,0,33,0.0,84.6,39019,60610-2021-31,POINT (-87.63581 41.90455)
