Trip Start Timestamp,Trips
4/19/2021,"104,523"
4/20/2021,"109,460"
4/21/2021,"114,907"
4/22/2021,"120,466"
4/23/2021,"143,346"
4/24/2021,"169,666"
4/25/2021,"121,777"
4/26/2021,"104,339"
4/27/2021,"112,583"
4/28/2021,"114,407"
4/29/2021,"121,984"
4/30/2021,"141,426"
5/1/2021,"159,403"
5/2/2021,"121,135"
5/3/2021,"104,394"
5/4/2021,"109,390"
5/5/2021,"121,756"
5/6/2021,"126,822"
5/7/2021,"145,436"
5/8/2021,"158,206"
5/9/2021,"114,484"
5/10/2021,"106,002"
5/11/2021,"110,532"
5/12/2021,"118,564"
5/13/2021,"125,687"
5/14/2021,"149,790"
5/15/2021,"173,077"
5/16/2021,"123,865"
5/17/2021,"106,614"
5/18/2021,"111,744"
5/19/2021,"121,003"
5/20/2021,"134,601"
5/21/2021,"158,066"
5/22/2021,"178,013"
5/23/2021,"127,193"
5/24/2021,"107,031"
5/25/2021,"113,614"
5/26/2021,"123,643"
5/27/2021,"131,769"
5/28/2021,"164,216"
5/29/2021,"182,387"
5/30/2021,"151,184"
5/31/2021,"109,011"
6/1/2021,"109,696"
6/2/2021,"117,623"
6/3/2021,"129,250"
6/4/2021,"157,132"
6/5/2021,"184,880"
6/6/2021,"133,837"
6/7/2021,"105,898"
6/8/2021,"110,966"
6/9/2021,"122,237"
6/10/2021,"135,090"
6/11/2021,"170,510"
6/12/2021,"185,383"
6/13/2021,"139,282"
6/14/2021,"106,625"
6/15/2021,"114,416"
6/16/2021,"123,409"
6/17/2021,"135,643"
6/18/2021,"166,457"
6/19/2021,"184,465"
6/20/2021,"124,444"
6/21/2021,"110,261"
6/22/2021,"119,069"
6/23/2021,"128,404"
6/24/2021,"141,026"
6/25/2021,"172,740"
6/26/2021,"193,811"
6/27/2021,"143,496"
6/28/2021,"112,020"
6/29/2021,"119,143"
6/30/2021,"126,662"
7/1/2021,"135,839"
7/2/2021,"160,976"
7/3/2021,"184,341"
7/4/2021,"152,032"
7/5/2021,"118,095"
7/6/2021,"114,379"
7/7/2021,"122,463"
7/8/2021,"138,062"
7/9/2021,"168,834"
7/10/2021,"200,014"
7/11/2021,"143,616"
7/12/2021,"115,625"
7/13/2021,"120,489"
7/14/2021,"131,268"
7/15/2021,"139,480"
7/16/2021,"166,817"
7/17/2021,"186,940"
7/18/2021,"136,003"
7/19/2021,"108,597"
7/20/2021,"114,298"
7/21/2021,"125,841"
7/22/2021,"139,944"
7/23/2021,"174,137"
7/24/2021,"194,880"
7/25/2021,"140,316"
7/26/2021,"113,181"
7/27/2021,"118,872"
7/28/2021,"134,260"
7/29/2021,"147,919"
7/30/2021,"173,744"
7/31/2021,"205,124"
8/1/2021,"148,239"
8/2/2021,"110,308"
8/3/2021,"110,742"
8/4/2021,"120,099"
8/5/2021,"135,811"
8/6/2021,"167,669"
8/7/2021,"196,998"
8/8/2021,"155,551"
8/9/2021,"118,583"
8/10/2021,"126,638"
8/11/2021,"127,539"
8/12/2021,"132,934"
8/13/2021,"161,067"
8/14/2021,"181,682"
8/15/2021,"136,545"
8/16/2021,"108,365"
8/17/2021,"111,443"
8/18/2021,"123,968"
8/19/2021,"139,131"
8/20/2021,"174,882"
8/21/2021,"187,502"
8/22/2021,"138,337"
8/23/2021,"105,083"
8/24/2021,"119,258"
8/25/2021,"129,457"
8/26/2021,"138,113"
8/27/2021,"172,654"
8/28/2021,"201,689"
8/29/2021,"142,345"
8/30/2021,"107,965"
8/31/2021,"113,597"
9/1/2021,"120,917"
9/2/2021,"138,012"
9/3/2021,"175,458"
9/4/2021,"210,631"
9/5/2021,"180,827"
9/6/2021,"119,918"
9/7/2021,"109,311"
9/8/2021,"115,591"
9/9/2021,"130,723"
9/10/2021,"178,896"
9/11/2021,"214,598"
9/12/2021,"165,380"
9/13/2021,"123,130"
9/14/2021,"125,746"
9/15/2021,"134,733"
9/16/2021,"141,886"
9/17/2021,"185,845"
9/18/2021,"219,937"
9/19/2021,"167,682"
9/20/2021,"121,565"
9/21/2021,"123,813"
9/22/2021,"137,099"
9/23/2021,"149,759"
9/24/2021,"191,711"
9/25/2021,"217,416"
9/26/2021,"157,328"
9/27/2021,"117,750"
9/28/2021,"116,422"
9/29/2021,"129,788"
9/30/2021,"149,368"
10/1/2021,"188,271"
10/2/2021,"224,973"
10/3/2021,"166,256"
10/4/2021,"127,459"
10/5/2021,"131,977"
10/6/2021,"141,197"
